JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,
BOM name：null-JLCPCB Assembly Order.xlsx,,Download Time：2026-03-06 12:02:31,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,
PCB Assembled Qty：5,,Est. Total Price：47.1463,,,,,,,,,,,
Your BOM,,,,,,,,Order Information,,,,,
Top Designator,Comment,Footprint,Part # ,Manufacturer,Footprint,Description,Category,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
"C31,C33,C39,C41,C46,C58",2.2uF,Capacitor_SMD:C_0402_1005Metric,GRM155R60J225KE95D,Murata Electronics,402,2.2uF 6.3V X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,C76992,https://jlcpcb.com/partdetail/MurataElectronics-GRM155R60J225KE95D/C76992,Extended,22,22 JLCPCB,0.176
"C34,C40,C42,C47,C59",0.01uF,Capacitor_SMD:C_0402_1005Metric,CL05B103KB5NNNC,Samsung Electro-Mechanics,402,10nF 50V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,C15195,https://jlcpcb.com/partdetail/15869-CL05B103KB5NNNC/C15195,Basic,20,20 JLCPCB,0.028
"C35,C36",1.6pF,Capacitor_SMD:C_0402_1005Metric,GJM1555C1H1R6WB01D,Murata Electronics,402,1.6pF 50V C0G 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,C88881,https://jlcpcb.com/partdetail/MurataElectronics-GJM1555C1H1R6WB01D/C88881,Extended,8,8 JLCPCB,0.464
"C37,C38,C54",27pF,Capacitor_SMD:C_0402_1005Metric,GJM1555C1H270FB01D,Murata Electronics,402,27pF 50V C0G ±1% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,C88883,https://jlcpcb.com/partdetail/MurataElectronics-GJM1555C1H270FB01D/C88883,Extended,20,20 JLCPCB,0.598
"C43,C44",1500uF,Capacitor_SMD:C_0402_1005Metric,RX1500UF10V90RV0042,KNSCHA,"SMD,D10xL10.2mm","-55℃~+105℃ 10.2mm 10V 10mm 1500uF 2000hrs@105℃ ±20% SMD,D10xL10.2mm Aluminum Electrolytic Capacitors - SMD ROHS",Aluminum Electrolytic Capacitors - SMD,C2887277,https://jlcpcb.com/partdetail/KNSCHA-RX1500UF10V90RV0042/C2887277,Extended,5,5 JLCPCB,1.187
"C45,C48",1200pF,Capacitor_SMD:C_0402_1005Metric,CC0402KRX7R9BB122,YAGEO,402,1.2nF 50V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,C107021,https://jlcpcb.com/partdetail/YAGEO-CC0402KRX7R9BB122/C107021,Extended,20,20 JLCPCB,0.024
"C49,C52",680pF,Capacitor_SMD:C_0402_1005Metric,0402B681K500NT,FH (Guangdong Fenghua Advanced Tech),402,50V 680pF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,C1541,https://jlcpcb.com/partdetail/1893-0402B681K500NT/C1541,Extended,20,20 JLCPCB,0.024
C50,10pF,Capacitor_SMD:C_0402_1005Metric,CL05C100JB5NNNC,Samsung Electro-Mechanics,402,10pF 50V C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,C32949,https://jlcpcb.com/partdetail/33914-CL05C100JB5NNNC/C32949,Basic,20,20 JLCPCB,0.09
C51,220pF,Capacitor_SMD:C_0402_1005Metric,0402B221K500NT,FH (Guangdong Fenghua Advanced Tech),402,220pF 50V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,C1530,https://jlcpcb.com/partdetail/1882-0402B221K500NT/C1530,Basic,20,20 JLCPCB,0.024
C53,120pF,Capacitor_SMD:C_0402_1005Metric,0402N121J500CT,Walsin Tech Corp,402,120pF 50V NP0 ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,C237176,https://jlcpcb.com/partdetail/Walsin_TechCorp-0402N121J500CT/C237176,Extended,20,20 JLCPCB,0.036
C55,82pF,Capacitor_SMD:C_0402_1005Metric,0402CG820J500NT,FH (Guangdong Fenghua Advanced Tech),402,50V 82pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,C45501,https://jlcpcb.com/partdetail/46503-0402CG820J500NT/C45501,Extended,20,20 JLCPCB,0.024
C56,68pF,Capacitor_SMD:C_0402_1005Metric,CL05C680JB5NNNC,Samsung Electro-Mechanics,402,50V 68pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,C14441,https://jlcpcb.com/partdetail/15103-CL05C680JB5NNNC/C14441,Extended,20,20 JLCPCB,0.092
D1,IR26-21C_L110_TR8,LED_SMD:LED_1206_3216Metric,IR26-21C/L110/TR8,Everlight Elec,1206,-25℃~+85℃ 1.2V 1mW/sr@IF=20mA 940nm 1206 Infrared LED Emitters ROHS,Infrared LED Emitters,C73929,https://jlcpcb.com/partdetail/EverlightElec-IR26_21C_L110TR8/C73929,Extended,6,6 JLCPCB,0.2892
